,quadrante,caracteristica
13878,D+_R-,UF_2
13879,D+_R-,UF_3
13880,D+_R-,UF_1
13881,D+_R-,UF_2
13882,D+_R-,UF_1
13883,D+_R-,UF_3
13884,D+_R-,UF_2
13885,D+_R-,UF_2
13886,D+_R-,UF_3
13887,D-_R-,UF_1
13888,D-_R-,UF_3
13889,D-_R-,UF_2
13890,D+_R-,UF_1
13891,D+_R-,UF_2
13892,D-_R-,UF_1
13893,D-_R-,UF_2
13894,D-_R-,UF_3
13895,D+_R-,UF_3
13896,D+_R-,UF_2
13897,D+_R-,UF_1
13898,D+_R-,UF_1
13899,D+_R-,UF_2
13900,D-_R-,UF_2
13901,D-_R-,UF_3
13902,D+_R-,UF_1
13903,D-_R-,UF_3
13904,D-_R-,UF_2
13905,D+_R-,UF_2
13906,D+_R-,UF_3
13907,D+_R-,UF_2
13908,D-_R-,UF_1
13909,D-_R-,UF_3
13910,D-_R-,UF_2
13911,D-_R-,UF_2
13912,D-_R-,UF_1
13913,D-_R-,UF_3
13914,D+_R-,UF_2
13915,D+_R-,UF_3
13916,D+_R-,UF_1
13917,D-_R-,UF_3
13918,D-_R-,UF_2
13919,D-_R-,UF_2
13920,D+_R-,UF_1
13921,D-_R-,UF_1
13922,D+_R+,UF_3
13923,D-_R+,UF_2
13924,D-_R-,UF_3
13925,D-_R+,UF_2
13926,D-_R-,UF_3
13927,D-_R+,UF_2
13928,D-_R-,UF_2
13929,D-_R-,UF_3
13930,D-_R-,UF_1
13931,D-_R-,UF_1
13932,D-_R-,UF_1
13933,D-_R-,UF_1
13934,D+_R+,UF_3
13935,D-_R+,UF_2
13936,D+_R-,UF_3
13937,D-_R-,UF_1
13938,D+_R-,UF_1
13939,D+_R+,UF_2
13940,D+_R+,UF_3
13941,D+_R-,UF_1
13942,D-_R-,UF_1
13943,D-_R+,UF_3
13944,D+_R+,UF_2
13945,D-_R+,UF_3
13946,D-_R+,UF_2
13947,D+_R+,UF_3
13948,D+_R+,UF_2
13949,D+_R+,UF_3
13950,D+_R+,UF_2
13951,D+_R-,UF_1
13952,D+_R+,UF_1
13953,D+_R-,UF_3
13954,D+_R+,UF_2
13955,D-_R-,UF_1
13956,D-_R+,UF_2
13957,D-_R+,UF_3
13958,D-_R-,UF_1
13959,D+_R-,UF_1
13960,D+_R+,UF_2
13961,D+_R+,UF_3
13962,D+_R+,UF_3
13963,D+_R+,UF_2
13964,D+_R-,UF_1
13965,D-_R-,UF_1
13966,D-_R-,UF_3
13967,D+_R+,UF_2
13968,D+_R-,UF_3
13969,D+_R-,UF_2
13970,D-_R-,UF_1
13971,D+_R+,UF_2
13972,D-_R-,UF_3
13973,D+_R+,UF_2
13974,D+_R-,UF_3
13975,D+_R-,UF_1
13976,D+_R-,UF_1
13977,D+_R-,UF_1
13978,D+_R+,UF_2
13979,D-_R-,UF_3
13980,D-_R-,UF_1
13981,D+_R+,UF_2
13982,D+_R+,UF_3
13983,D-_R-,UF_3
13984,D-_R-,UF_1
13985,D-_R-,UF_1
13986,D-_R+,UF_2
13987,D-_R+,UF_2
13988,D-_R-,UF_3
13989,D+_R-,UF_1
13990,D+_R-,UF_3
13991,D+_R-,UF_2
13992,D+_R-,UF_3
13993,D+_R-,UF_1
13994,D+_R-,UF_2
13995,D+_R-,UF_3
13996,D+_R-,UF_2
13997,D+_R-,UF_3
13998,D+_R-,UF_3
13999,D+_R-,UF_3
14000,D+_R+,UF_2
14001,D+_R-,UF_1
14002,D+_R-,UF_1
14003,D+_R+,UF_3
14004,D+_R+,UF_2
14005,D+_R-,UF_2
14006,D+_R-,UF_3
14007,D+_R-,UF_1
14008,D+_R-,UF_1
14009,D-_R-,UF_1
14010,D-_R+,UF_2
14011,D-_R-,UF_3
14012,D-_R-,UF_1
14013,D+_R-,UF_2
14014,D+_R-,UF_3
14015,D-_R+,UF_2
14016,D-_R-,UF_3
14017,D-_R-,UF_2
14018,D-_R-,UF_1
14019,D-_R-,UF_3
14020,D-_R-,UF_1
14021,D+_R-,UF_1
14022,D+_R-,UF_1
14023,D+_R+,UF_2
14024,D+_R+,UF_3
14025,D+_R+,UF_2
14026,D+_R-,UF_3
14027,D-_R-,UF_1
14028,D-_R+,UF_2
14029,D-_R-,UF_3
14030,D-_R-,UF_1
14031,D-_R-,UF_3
14032,D-_R+,UF_2
14033,D-_R+,UF_2
14034,D-_R-,UF_3
14035,D-_R-,UF_1
14036,D-_R-,UF_1
14037,D+_R-,UF_3
14038,D-_R+,UF_2
14039,D-_R+,UF_2
14040,D-_R-,UF_3
14041,D+_R-,UF_1
14042,D-_R-,UF_1
14043,D+_R-,UF_3
14044,D+_R+,UF_2
14045,D-_R-,UF_3
14046,D-_R+,UF_2
14047,D-_R-,UF_1
14048,D-_R-,UF_1
14049,D-_R-,UF_3
14050,D-_R-,UF_2
14051,D+_R-,UF_3
14052,D+_R+,UF_2
14053,D-_R-,UF_3
14054,D-_R+,UF_2
14055,D-_R-,UF_1
14056,D-_R-,UF_1
14057,D+_R-,UF_1
14058,D+_R+,UF_3
14059,D+_R-,UF_3
14060,D+_R+,UF_2
14061,D+_R-,UF_1
14062,D+_R+,UF_2
14063,D-_R-,UF_1
14064,D-_R-,UF_3
14065,D+_R-,UF_2
14066,D-_R-,UF_3
14067,D-_R-,UF_2
14068,D+_R-,UF_1
14069,D-_R-,UF_2
14070,D-_R-,UF_2
14071,D-_R-,UF_3
14072,D-_R-,UF_3
14073,D-_R-,UF_1
14074,D-_R-,UF_1
14075,D+_R-,UF_3
14076,D-_R-,UF_2
14077,D-_R-,UF_1
14078,D-_R-,UF_1
14079,D-_R-,UF_3
14080,D-_R-,UF_2
14081,D+_R-,UF_1
14082,D+_R-,UF_1
14083,D+_R-,UF_2
14084,D+_R-,UF_3
14085,D+_R+,UF_2
14086,D+_R-,UF_3
14087,D+_R-,UF_1
14088,D+_R-,UF_3
14089,D+_R-,UF_2
14090,D+_R-,UF_1
14091,D+_R-,UF_3
14092,D+_R-,UF_2
14093,D+_R-,UF_2
14094,D-_R-,UF_3
14095,D-_R-,UF_3
14096,D-_R-,UF_2
14097,D+_R-,UF_1
14098,D-_R-,UF_1
14099,D+_R-,UF_3
14100,D-_R-,UF_2
14101,D-_R-,UF_1
14102,D-_R-,UF_2
14103,D-_R-,UF_3
14104,D-_R-,UF_1
14105,D-_R-,UF_1
14106,D-_R-,UF_2
14107,D-_R-,UF_3
14108,D-_R-,UF_3
14109,D-_R-,UF_2
14110,D-_R-,UF_1
14111,D-_R-,UF_1
14112,D-_R-,UF_3
14113,D-_R-,UF_2
14114,D-_R-,UF_3
14115,D-_R-,UF_2
14116,D-_R-,UF_1
14117,D-_R-,UF_2
14118,D-_R-,UF_3
14119,D-_R-,UF_1
14120,D-_R-,UF_3
14121,D-_R-,UF_1
14122,D-_R-,UF_2
14123,D+_R-,UF_3
14124,D+_R+,UF_2
14125,D+_R-,UF_1
14126,D+_R-,UF_1
14127,D+_R-,UF_3
14128,D+_R-,UF_2
14129,D+_R-,UF_2
14130,D+_R-,UF_3
14131,D-_R-,UF_3
14132,D-_R-,UF_1
14133,D-_R-,UF_2
14134,D+_R-,UF_2
14135,D+_R-,UF_3
14136,D-_R-,UF_1
14137,D-_R-,UF_3
14138,D-_R-,UF_2
14139,D-_R-,UF_1
14140,D-_R-,UF_3
14141,D-_R-,UF_2
14142,D-_R-,UF_1
14143,D-_R-,UF_3
14144,D-_R-,UF_2
14145,D-_R+,UF_2
14146,D-_R+,UF_3
14147,D-_R-,UF_1
14148,D-_R-,UF_1
14149,D-_R+,UF_2
14150,D-_R+,UF_2
14151,D-_R+,UF_3
14152,D-_R+,UF_3
14153,D-_R-,UF_1
14154,D-_R-,UF_1
14155,D+_R+,UF_1
14156,D+_R+,UF_1
14157,D+_R+,UF_3
14158,D+_R+,UF_2
14159,D-_R-,UF_1
14160,D+_R-,UF_3
14161,D-_R+,UF_2
14162,D+_R+,UF_3
14163,D+_R+,UF_3
14164,D-_R-,UF_1
14165,D-_R+,UF_2
14166,D-_R+,UF_3
14167,D+_R-,UF_1
14168,D+_R+,UF_2
14169,D-_R+,UF_2
14170,D-_R-,UF_1
14171,D-_R-,UF_1
14172,D-_R+,UF_3
14173,D-_R+,UF_2
14174,D-_R+,UF_3
14175,D-_R+,UF_2
14176,D-_R+,UF_3
14177,D-_R-,UF_1
14178,D-_R+,UF_2
14179,D-_R+,UF_3
14180,D-_R+,UF_1
14181,D+_R+,UF_3
14182,D+_R+,UF_2
14183,D+_R+,UF_1
14184,D+_R+,UF_2
14185,D+_R-,UF_1
14186,D+_R+,UF_3
14187,D+_R+,UF_3
14188,D+_R+,UF_2
14189,D+_R-,UF_1
14190,D-_R-,UF_1
14191,D-_R+,UF_3
14192,D-_R+,UF_2
14193,D-_R+,UF_2
14194,D+_R-,UF_1
14195,D+_R+,UF_3
14196,D-_R-,UF_1
14197,D-_R+,UF_2
14198,D-_R+,UF_3
14199,D-_R+,UF_2
14200,D-_R+,UF_3
14201,D-_R-,UF_1
14202,D-_R-,UF_1
14203,D-_R+,UF_3
14204,D-_R+,UF_2
14205,D-_R-,UF_1
14206,D-_R+,UF_3
14207,D-_R+,UF_2
14208,D+_R+,UF_3
14209,D-_R+,UF_2
14210,D-_R-,UF_1
14211,D+_R-,UF_3
14212,D+_R+,UF_2
14213,D+_R-,UF_1
14214,D+_R+,UF_2
14215,D+_R+,UF_3
14216,D+_R-,UF_1
14217,D-_R-,UF_3
14218,D-_R-,UF_3
14219,D-_R-,UF_2
14220,D-_R-,UF_2
14221,D-_R+,UF_2
14222,D-_R-,UF_3
14223,D-_R-,UF_3
14224,D-_R-,UF_2
14225,D-_R-,UF_1
14226,D-_R-,UF_1
14227,D-_R-,UF_1
14228,D-_R-,UF_1
14229,D+_R-,UF_1
14230,D+_R-,UF_3
14231,D+_R-,UF_3
14232,D+_R+,UF_2
14233,D-_R-,UF_1
14234,D+_R+,UF_2
14235,D+_R-,UF_3
14236,D-_R-,UF_1
14237,D+_R-,UF_2
14238,D-_R-,UF_3
14239,D-_R-,UF_3
14240,D-_R+,UF_2
14241,D-_R-,UF_1
14242,D+_R-,UF_3
14243,D+_R+,UF_2
14244,D+_R-,UF_3
14245,D+_R+,UF_2
14246,D+_R-,UF_1
14247,D+_R-,UF_1
14248,D-_R-,UF_1
14249,D-_R-,UF_1
14250,D-_R+,UF_2
14251,D-_R-,UF_3
14252,D+_R-,UF_2
14253,D-_R-,UF_3
14254,D+_R+,UF_3
14255,D+_R+,UF_2
14256,D+_R-,UF_1
14257,D+_R-,UF_1
14258,D+_R+,UF_2
14259,D+_R-,UF_3
14260,D-_R-,UF_1
14261,D+_R-,UF_1
14262,D+_R-,UF_2
14263,D-_R-,UF_3
14264,D-_R+,UF_2
14265,D-_R-,UF_3
14266,D-_R-,UF_2
14267,D-_R-,UF_3
14268,D+_R-,UF_1
14269,D+_R-,UF_1
14270,D+_R-,UF_2
14271,D+_R-,UF_3
14272,D-_R+,UF_2
14273,D-_R-,UF_3
14274,D-_R-,UF_1
14275,D+_R-,UF_1
14276,D+_R+,UF_2
14277,D+_R-,UF_3
14278,D-_R-,UF_1
14279,D-_R+,UF_2
14280,D-_R-,UF_3
14281,D-_R-,UF_3
14282,D-_R+,UF_2
14283,D-_R-,UF_1
14284,D+_R-,UF_1
14285,D+_R-,UF_3
14286,D+_R-,UF_2
14287,D+_R-,UF_1
14288,D+_R-,UF_2
14289,D+_R-,UF_3
14290,D-_R+,UF_2
14291,D-_R-,UF_3
14292,D-_R+,UF_3
14293,D-_R+,UF_2
14294,D-_R+,UF_3
14295,D-_R+,UF_2
14296,D-_R+,UF_2
14297,D-_R-,UF_3
14298,D-_R-,UF_1
14299,D-_R-,UF_1
14300,D-_R-,UF_1
14301,D-_R+,UF_1
14302,D+_R+,UF_1
14303,D+_R+,UF_2
14304,D+_R+,UF_3
14305,D+_R+,UF_1
14306,D+_R+,UF_3
14307,D+_R+,UF_2
14308,D+_R+,UF_1
14309,D-_R-,UF_1
14310,D+_R+,UF_2
14311,D+_R+,UF_3
14312,D+_R+,UF_2
14313,D+_R+,UF_3
14314,D+_R+,UF_3
14315,D+_R+,UF_3
14316,D+_R+,UF_2
14317,D+_R+,UF_2
14318,D+_R+,UF_1
14319,D+_R+,UF_1
14320,D-_R-,UF_1
14321,D-_R+,UF_1
14322,D-_R+,UF_2
14323,D-_R+,UF_3
14324,D+_R+,UF_2
14325,D+_R+,UF_3
14326,D+_R+,UF_1
14327,D+_R+,UF_1
14328,D+_R+,UF_3
14329,D+_R+,UF_2
14330,D+_R+,UF_2
14331,D+_R+,UF_3
14332,D+_R+,UF_3
14333,D-_R-,UF_1
14334,D+_R+,UF_1
14335,D-_R-,UF_3
14336,D-_R+,UF_2
14337,D+_R+,UF_2
14338,D-_R+,UF_2
14339,D-_R-,UF_3
14340,D+_R+,UF_1
14341,D-_R-,UF_1
14342,D-_R+,UF_2
14343,D+_R+,UF_3
14344,D-_R+,UF_2
14345,D+_R+,UF_3
14346,D-_R-,UF_1
14347,D-_R+,UF_1
14348,D-_R+,UF_2
14349,D+_R+,UF_3
14350,D-_R+,UF_1
14351,D-_R+,UF_3
14352,D-_R+,UF_2
14353,D-_R+,UF_3
14354,D-_R+,UF_2
14355,D+_R-,UF_1
14356,D+_R-,UF_1
14357,D+_R+,UF_3
14358,D+_R+,UF_2
14359,D+_R+,UF_1
14360,D+_R-,UF_3
14361,D+_R+,UF_2
14362,D-_R-,UF_1
14363,D-_R-,UF_1
14364,D-_R+,UF_2
14365,D+_R+,UF_3
14366,D-_R-,UF_3
14367,D-_R+,UF_2
14368,D-_R+,UF_3
14369,D-_R-,UF_2
14370,D-_R+,UF_2
14371,D-_R-,UF_3
14372,D+_R-,UF_1
14373,D-_R-,UF_1
14374,D+_R+,UF_3
14375,D-_R+,UF_2
14376,D+_R+,UF_1
14377,D-_R+,UF_1
14378,D+_R+,UF_2
14379,D+_R+,UF_3
14380,D-_R-,UF_1
14381,D+_R-,UF_1
14382,D-_R+,UF_3
14383,D-_R+,UF_2
14384,D+_R-,UF_3
14385,D+_R+,UF_2
14386,D+_R+,UF_2
14387,D+_R+,UF_3
14388,D+_R+,UF_2
14389,D+_R+,UF_3
14390,D+_R-,UF_1
14391,D+_R-,UF_1
14392,D-_R-,UF_1
14393,D-_R-,UF_1
14394,D-_R+,UF_3
14395,D-_R+,UF_2
14396,D+_R-,UF_3
14397,D-_R+,UF_2
14398,D+_R-,UF_1
14399,D+_R-,UF_1
14400,D+_R+,UF_2
14401,D+_R+,UF_3
14402,D+_R+,UF_2
14403,D+_R+,UF_3
14404,D-_R-,UF_1
14405,D-_R-,UF_1
14406,D-_R+,UF_2
14407,D-_R-,UF_3
14408,D+_R-,UF_2
14409,D+_R-,UF_3
14410,D-_R-,UF_3
14411,D-_R+,UF_2
14412,D-_R-,UF_1
14413,D-_R-,UF_1
14414,D-_R-,UF_2
14415,D-_R-,UF_3
14416,D-_R-,UF_3
14417,D-_R+,UF_2
14418,D-_R-,UF_1
14419,D-_R-,UF_1
14420,D-_R-,UF_3
14421,D-_R+,UF_2
14422,D-_R-,UF_1
14423,D-_R-,UF_3
14424,D-_R+,UF_2
14425,D-_R-,UF_3
14426,D-_R+,UF_2
14427,D-_R-,UF_1
14428,D-_R-,UF_1
14429,D-_R-,UF_2
14430,D-_R-,UF_3
14431,D-_R-,UF_3
14432,D-_R-,UF_2
14433,D-_R-,UF_1
14434,D+_R-,UF_1
14435,D-_R-,UF_1
14436,D-_R+,UF_2
14437,D-_R-,UF_2
14438,D-_R-,UF_3
14439,D-_R-,UF_3
14440,D-_R-,UF_1
14441,D-_R-,UF_1
14442,D-_R+,UF_3
14443,D-_R+,UF_2
14444,D-_R+,UF_2
14445,D-_R-,UF_3
14446,D+_R+,UF_3
14447,D+_R+,UF_2
14448,D+_R-,UF_1
14449,D-_R-,UF_1
14450,D+_R-,UF_3
14451,D+_R+,UF_3
14452,D-_R+,UF_2
14453,D-_R+,UF_2
14454,D-_R+,UF_3
14455,D-_R-,UF_1
14456,D+_R+,UF_2
14457,D-_R-,UF_3
14458,D+_R-,UF_1
14459,D-_R-,UF_1
14460,D-_R+,UF_2
14461,D-_R-,UF_3
14462,D-_R-,UF_1
14463,D-_R+,UF_3
14464,D-_R+,UF_2
14465,D-_R-,UF_1
14466,D-_R+,UF_2
14467,D-_R+,UF_3
14468,D-_R-,UF_1
14469,D-_R+,UF_2
14470,D-_R+,UF_3
14471,D+_R-,UF_1
14472,D+_R+,UF_2
14473,D+_R+,UF_3
14474,D+_R+,UF_3
14475,D+_R+,UF_2
14476,D+_R-,UF_1
14477,D+_R+,UF_2
14478,D+_R-,UF_3
14479,D+_R-,UF_1
14480,D-_R-,UF_1
14481,D-_R+,UF_3
14482,D-_R+,UF_2
14483,D-_R+,UF_2
14484,D-_R-,UF_3
14485,D-_R-,UF_1
14486,D-_R+,UF_2
14487,D-_R-,UF_3
14488,D-_R-,UF_1
14489,D-_R-,UF_1
14490,D-_R-,UF_1
14491,D-_R+,UF_2
14492,D-_R-,UF_3
14493,D-_R+,UF_3
14494,D-_R+,UF_2
14495,D-_R-,UF_1
14496,D-_R+,UF_3
14497,D-_R+,UF_2
14498,D-_R-,UF_3
14499,D-_R-,UF_1
14500,D-_R+,UF_2
14501,D+_R+,UF_2
14502,D+_R-,UF_3
14503,D+_R-,UF_1
14504,D+_R-,UF_1
14505,D+_R-,UF_3
14506,D+_R+,UF_2
14507,D-_R-,UF_1
14508,D-_R+,UF_2
14509,D-_R+,UF_2
14510,D-_R-,UF_3
14511,D-_R+,UF_3
14512,D-_R+,UF_2
14513,D-_R-,UF_3
14514,D-_R-,UF_3
14515,D-_R+,UF_2
14516,D-_R-,UF_2
14517,D-_R-,UF_1
14518,D-_R-,UF_1
14519,D+_R+,UF_3
14520,D+_R+,UF_2
14521,D+_R-,UF_1
14522,D+_R-,UF_1
14523,D+_R+,UF_3
14524,D+_R+,UF_2
14525,D-_R-,UF_1
14526,D-_R-,UF_1
14527,D-_R+,UF_2
14528,D-_R+,UF_3
14529,D+_R-,UF_3
14530,D+_R+,UF_2
14531,D-_R-,UF_1
14532,D+_R+,UF_3
14533,D-_R+,UF_2
14534,D+_R+,UF_2
14535,D+_R-,UF_3
14536,D-_R-,UF_1
14537,D-_R-,UF_1
14538,D-_R-,UF_3
14539,D-_R+,UF_3
14540,D-_R+,UF_2
14541,D-_R+,UF_2
14542,D-_R-,UF_1
14543,D-_R-,UF_1
14544,D-_R+,UF_2
14545,D-_R+,UF_3
14546,D-_R-,UF_1
14547,D-_R+,UF_2
14548,D-_R+,UF_3
14549,D-_R-,UF_3
14550,D-_R+,UF_2
14551,D-_R+,UF_3
14552,D-_R+,UF_2
14553,D-_R-,UF_1
14554,D-_R-,UF_1
14555,D-_R+,UF_2
14556,D-_R+,UF_3
14557,D-_R-,UF_3
14558,D-_R+,UF_2
14559,D-_R-,UF_1
14560,D-_R-,UF_1
14561,D-_R-,UF_1
14562,D-_R+,UF_3
14563,D-_R+,UF_2
14564,D-_R+,UF_3
14565,D-_R+,UF_2
14566,D-_R-,UF_1
14567,D-_R+,UF_3
14568,D-_R+,UF_2
14569,D-_R-,UF_1
14570,D-_R-,UF_3
14571,D-_R+,UF_2
14572,D-_R-,UF_1
14573,D-_R-,UF_2
14574,D-_R-,UF_3
14575,D-_R-,UF_1
14576,D-_R-,UF_1
14577,D-_R+,UF_2
14578,D-_R-,UF_3
14579,D-_R-,UF_1
14580,D-_R-,UF_1
14581,D-_R-,UF_1
14582,D-_R-,UF_3
14583,D-_R+,UF_2
14584,D-_R-,UF_3
14585,D-_R-,UF_2
14586,D-_R-,UF_1
14587,D-_R-,UF_1
14588,D-_R+,UF_2
14589,D+_R-,UF_3
14590,D-_R-,UF_3
14591,D-_R+,UF_2
14592,D+_R+,UF_2
14593,D+_R+,UF_3
14594,D+_R-,UF_1
14595,D-_R-,UF_1
14596,D+_R-,UF_3
14597,D-_R+,UF_2
14598,D+_R-,UF_3
14599,D-_R+,UF_2
14600,D-_R-,UF_3
14601,D-_R-,UF_1
14602,D-_R-,UF_3
14603,D+_R-,UF_2
14604,D-_R-,UF_1
14605,D-_R-,UF_1
14606,D-_R-,UF_1
14607,D-_R-,UF_3
14608,D-_R+,UF_2
14609,D-_R+,UF_2
14610,D-_R-,UF_3
14611,D-_R+,UF_2
14612,D-_R+,UF_3
14613,D-_R-,UF_1
14614,D-_R-,UF_1
14615,D-_R+,UF_2
14616,D-_R-,UF_3
14617,D+_R+,UF_2
14618,D+_R+,UF_3
14619,D+_R-,UF_1
14620,D+_R+,UF_2
14621,D+_R+,UF_3
14622,D+_R-,UF_1
14623,D-_R-,UF_3
14624,D+_R-,UF_2
14625,D+_R-,UF_1
14626,D-_R-,UF_3
14627,D-_R+,UF_2
14628,D-_R-,UF_1
14629,D-_R-,UF_1
14630,D-_R-,UF_3
14631,D-_R+,UF_2
14632,D-_R+,UF_2
14633,D+_R-,UF_3
14634,D-_R-,UF_1
14635,D-_R-,UF_1
14636,D-_R-,UF_1
14637,D-_R-,UF_3
14638,D-_R+,UF_2
14639,D-_R+,UF_2
14640,D-_R+,UF_3
14641,D+_R+,UF_3
14642,D-_R+,UF_2
14643,D-_R-,UF_1
14644,D-_R-,UF_1
14645,D-_R-,UF_3
14646,D-_R+,UF_2
14647,D+_R+,UF_2
14648,D+_R-,UF_3
14649,D+_R-,UF_1
14650,D+_R-,UF_1
14651,D+_R-,UF_3
14652,D+_R-,UF_2
14653,D+_R+,UF_2
14654,D+_R+,UF_2
14655,D+_R+,UF_3
14656,D+_R+,UF_3
14657,D+_R+,UF_1
14658,D+_R+,UF_1
14659,D+_R+,UF_1
14660,D+_R+,UF_1
14661,D+_R+,UF_3
14662,D+_R+,UF_3
14663,D+_R+,UF_2
14664,D+_R+,UF_2
14665,D+_R+,UF_2
14666,D+_R+,UF_3
14667,D+_R+,UF_1
14668,D+_R+,UF_1
14669,D+_R+,UF_3
14670,D+_R+,UF_2
14671,D-_R+,UF_1
14672,D-_R+,UF_1
14673,D-_R+,UF_3
14674,D+_R+,UF_2
14675,D-_R+,UF_2
14676,D-_R+,UF_3
14677,D-_R+,UF_3
14678,D-_R+,UF_2
14679,D-_R+,UF_3
14680,D-_R+,UF_2
14681,D-_R+,UF_1
14682,D-_R+,UF_1
14683,D-_R+,UF_1
14684,D-_R+,UF_1
14685,D+_R+,UF_1
14686,D+_R-,UF_3
14687,D+_R+,UF_2
14688,D+_R+,UF_2
14689,D+_R+,UF_3
14690,D+_R+,UF_1
14691,D-_R+,UF_1
14692,D-_R+,UF_2
14693,D-_R+,UF_3
14694,D-_R+,UF_2
14695,D-_R+,UF_3
14696,D-_R+,UF_1
14697,D-_R+,UF_1
14698,D-_R+,UF_2
14699,D-_R-,UF_3
14700,D+_R+,UF_2
14701,D+_R-,UF_3
14702,D-_R-,UF_1
14703,D-_R-,UF_3
14704,D-_R+,UF_2
14705,D+_R-,UF_3
14706,D+_R+,UF_2
14707,D+_R-,UF_1
14708,D+_R+,UF_1
14709,D+_R-,UF_1
14710,D-_R+,UF_3
14711,D-_R+,UF_2
14712,D+_R+,UF_1
14713,D-_R+,UF_2
14714,D-_R-,UF_3
14715,D+_R+,UF_2
14716,D+_R-,UF_3
14717,D+_R+,UF_1
14718,D+_R+,UF_3
14719,D+_R+,UF_2
14720,D+_R-,UF_1
14721,D-_R-,UF_2
14722,D-_R-,UF_3
14723,D-_R-,UF_1
14724,D+_R+,UF_2
14725,D+_R-,UF_3
14726,D+_R-,UF_1
14727,D+_R+,UF_2
14728,D+_R+,UF_3
14729,D-_R-,UF_3
14730,D-_R+,UF_2
14731,D+_R-,UF_1
14732,D-_R-,UF_1
14733,D-_R+,UF_3
14734,D+_R-,UF_2
14735,D-_R+,UF_2
14736,D+_R-,UF_3
14737,D+_R+,UF_1
14738,D-_R-,UF_1
14739,D-_R+,UF_1
14740,D+_R+,UF_1
14741,D+_R+,UF_2
14742,D+_R+,UF_3
14743,D-_R+,UF_2
14744,D+_R-,UF_3
14745,D+_R+,UF_3
14746,D+_R+,UF_2
14747,D+_R+,UF_3
14748,D-_R+,UF_2
14749,D-_R+,UF_3
14750,D+_R-,UF_1
14751,D-_R-,UF_1
14752,D-_R-,UF_1
14753,D-_R+,UF_2
14754,D-_R+,UF_3
14755,D-_R+,UF_3
14756,D-_R+,UF_2
14757,D-_R+,UF_1
14758,D-_R-,UF_1
14759,D-_R+,UF_3
14760,D-_R+,UF_2
14761,D-_R-,UF_1
14762,D-_R+,UF_2
14763,D-_R+,UF_3
14764,D+_R+,UF_1
14765,D+_R+,UF_2
14766,D+_R+,UF_3
14767,D+_R+,UF_3
14768,D+_R+,UF_2
14769,D+_R+,UF_1
14770,D-_R-,UF_1
14771,D-_R-,UF_1
14772,D-_R+,UF_2
14773,D-_R+,UF_3
14774,D+_R-,UF_3
14775,D+_R+,UF_2
14776,D-_R-,UF_3
14777,D-_R+,UF_2
14778,D-_R-,UF_1
14779,D-_R-,UF_1
14780,D-_R+,UF_2
14781,D-_R+,UF_3
14782,D-_R-,UF_1
14783,D-_R-,UF_1
14784,D-_R+,UF_2
14785,D-_R-,UF_3
14786,D-_R+,UF_3
14787,D-_R+,UF_2
14788,D-_R+,UF_2
14789,D-_R+,UF_3
14790,D-_R-,UF_1
14791,D-_R+,UF_2
14792,D-_R+,UF_3
14793,D-_R-,UF_1
14794,D+_R+,UF_2
14795,D+_R-,UF_3
14796,D+_R-,UF_3
14797,D+_R+,UF_2
14798,D+_R-,UF_1
14799,D+_R-,UF_1
14800,D+_R-,UF_2
14801,D+_R-,UF_3
14802,D+_R-,UF_3
14803,D+_R-,UF_2
14804,D+_R-,UF_1
14805,D+_R-,UF_1
14806,D+_R-,UF_1
14807,D+_R-,UF_2
14808,D+_R-,UF_3
14809,D+_R-,UF_3
14810,D+_R+,UF_2
14811,D+_R-,UF_1
14812,D-_R-,UF_1
14813,D+_R-,UF_1
14814,D+_R+,UF_2
14815,D+_R-,UF_3
14816,D+_R-,UF_3
14817,D+_R-,UF_2
14818,D-_R-,UF_1
14819,D-_R-,UF_1
14820,D-_R-,UF_3
14821,D-_R+,UF_2
14822,D-_R-,UF_3
14823,D-_R-,UF_2
14824,D+_R+,UF_2
14825,D+_R-,UF_3
14826,D+_R-,UF_1
14827,D+_R-,UF_3
14828,D+_R+,UF_2
14829,D+_R-,UF_1
14830,D+_R-,UF_3
14831,D-_R+,UF_2
14832,D-_R-,UF_1
14833,D-_R+,UF_2
14834,D-_R-,UF_3
14835,D-_R-,UF_1
14836,D-_R+,UF_3
14837,D-_R+,UF_2
14838,D-_R-,UF_1
14839,D-_R+,UF_2
14840,D-_R+,UF_3
14841,D-_R-,UF_1
14842,D-_R-,UF_1
14843,D-_R+,UF_2
14844,D-_R-,UF_3
14845,D-_R+,UF_2
14846,D-_R-,UF_3
14847,D-_R-,UF_1
14848,D+_R+,UF_3
14849,D+_R+,UF_2
14850,D-_R+,UF_2
14851,D-_R-,UF_3
14852,D-_R-,UF_1
14853,D+_R-,UF_1
14854,D-_R+,UF_2
14855,D-_R+,UF_3
14856,D-_R-,UF_1
14857,D-_R-,UF_1
14858,D-_R+,UF_3
14859,D-_R+,UF_2
14860,D-_R-,UF_1
14861,D-_R-,UF_3
14862,D-_R+,UF_2
14863,D-_R+,UF_2
14864,D-_R-,UF_3
14865,D-_R-,UF_1
14866,D-_R-,UF_1
14867,D-_R-,UF_3
14868,D-_R-,UF_2
14869,D+_R-,UF_2
14870,D+_R-,UF_3
14871,D+_R-,UF_1
14872,D-_R+,UF_2
14873,D-_R+,UF_3
14874,D-_R+,UF_2
14875,D-_R+,UF_3
14876,D-_R+,UF_2
