,quadrante,caracteristica
511,D+_R+,Canal_1
512,D+_R-,Canal_2
513,D+_R+,Canal_2
514,D+_R+,Canal_1
515,D+_R+,Canal_2
516,D+_R+,Canal_2
517,D+_R-,Canal_2
518,D+_R-,Canal_2
519,D-_R+,Canal_2
520,D-_R+,Canal_2
521,D+_R+,Canal_1
522,D+_R+,Canal_1
523,D-_R+,Canal_2
524,D-_R-,Canal_1
525,D-_R-,Canal_1
526,D-_R+,Canal_2
527,D-_R+,Canal_2
528,D-_R+,Canal_2
529,D-_R+,Canal_1
530,D+_R+,Canal_1
531,D-_R+,Canal_2
532,D-_R+,Canal_2
533,D-_R+,Canal_1
534,D+_R+,Canal_1
535,D-_R+,Canal_2
536,D-_R+,Canal_1
537,D+_R+,Canal_1
538,D-_R+,Canal_1
539,D-_R+,Canal_2
540,D-_R+,Canal_2
541,D-_R+,Canal_2
542,D-_R-,Canal_1
543,D+_R-,Canal_1
544,D+_R+,Canal_1
545,D+_R-,Canal_2
546,D+_R+,Canal_2
547,D+_R+,Canal_1
548,D+_R+,Canal_1
549,D+_R-,Canal_1
550,D+_R-,Canal_2
551,D+_R+,Canal_2
552,D+_R-,Canal_2
553,D+_R+,Canal_2
554,D-_R+,Canal_2
555,D-_R+,Canal_2
556,D+_R+,Canal_1
557,D+_R+,Canal_1
558,D+_R-,Canal_1
559,D-_R+,Canal_2
560,D+_R+,Canal_2
561,D+_R+,Canal_1
562,D+_R-,Canal_1
563,D+_R-,Canal_2
564,D+_R+,Canal_1
565,D+_R+,Canal_1
566,D+_R-,Canal_2
567,D+_R-,Canal_2
568,D+_R+,Canal_2
569,D+_R+,Canal_2
570,D+_R+,Canal_2
571,D+_R-,Canal_1
572,D-_R+,Canal_2
573,D-_R+,Canal_2
574,D-_R-,Canal_2
575,D-_R-,Canal_2
576,D-_R-,Canal_2
577,D+_R+,Canal_1
578,D+_R+,Canal_1
579,D-_R+,Canal_2
580,D+_R-,Canal_1
581,D+_R-,Canal_2
582,D+_R+,Canal_2
583,D+_R-,Canal_2
584,D+_R-,Canal_1
585,D+_R+,Canal_2
586,D+_R+,Canal_1
587,D+_R+,Canal_2
588,D+_R-,Canal_2
589,D+_R-,Canal_1
590,D+_R-,Canal_1
591,D+_R+,Canal_1
592,D+_R+,Canal_1
593,D-_R-,Canal_1
594,D-_R+,Canal_2
595,D-_R+,Canal_2
596,D-_R+,Canal_2
597,D+_R+,Canal_1
598,D+_R+,Canal_1
599,D-_R-,Canal_2
600,D+_R-,Canal_2
601,D-_R+,Canal_2
602,D-_R-,Canal_2
603,D+_R+,Canal_2
604,D-_R+,Canal_2
605,D+_R+,Canal_2
606,D-_R-,Canal_2
607,D+_R-,Canal_1
608,D+_R+,Canal_1
609,D-_R-,Canal_1
610,D+_R-,Canal_2
611,D+_R+,Canal_1
612,D+_R+,Canal_1
613,D-_R+,Canal_1
614,D-_R-,Canal_2
615,D+_R+,Canal_2
616,D-_R+,Canal_2
617,D+_R-,Canal_1
618,D-_R-,Canal_1
619,D+_R+,Canal_1
620,D+_R-,Canal_2
621,D+_R+,Canal_2
622,D+_R-,Canal_2
623,D+_R+,Canal_2
624,D+_R-,Canal_2
625,D+_R+,Canal_2
626,D+_R-,Canal_1
627,D+_R+,Canal_1
628,D+_R+,Canal_1
629,D+_R+,Canal_1
630,D+_R+,Canal_1
631,D+_R+,Canal_1
632,D-_R+,Canal_2
